https://github.com/neowutran/TeraDpsMeterData/blob/master/hotdot/hotdot-TW.tsv

90440000	OutOfCombatMovSpd	Buff	True	abs	3600000	0	80	合爾拉特的祝福			漂泊之神合爾拉特為您降下了祝福。在合爾拉特的神殿移動區間內$H_W_GOOD和平狀態移動速度$COLOR_END和 $H_W_GOOD座騎移動速度$COLOR_END變迅速。	icon_status.lightweight_tex	icon_status.lightweight_tex	True
90440000	RidingSpeed	Buff	True	seta	3600000	0	400	合爾拉特的祝福			漂泊之神合爾拉特為您降下了祝福。在合爾拉特的神殿移動區間內$H_W_GOOD和平狀態移動速度$COLOR_END和 $H_W_GOOD座騎移動速度$COLOR_END變迅速。	icon_status.lightweight_tex	icon_status.lightweight_tex	True
90440009	Stun	Stun	False	swch	5000	0	5	擊暈			因巴哈勒的強力攻擊而陷入暈眩狀態無法移動。	icon_status.confuseup_tex	icon_status.confuseup_tex	True
90442006	335	Buff	True	swch	20000	0	0	巴哈勒的憤怒			於憤怒狀態受到過多傷害時，巴哈勒將觸發震怒。	icon_status.baharrrage_tex	icon_status.baharrrage_tex	False
90442100	335	Buff	True	swch	0	0	0	巴哈勒的憤怒			於憤怒狀態受到過多傷害時，巴哈勒將觸發震怒。	icon_status.baharrrage_tex	icon_status.baharrrage_tex	False
90442101	DelayedEffect	Buff	True	swch	0	0	90442102	巴哈勒的震怒			火之神巴哈勒的震怒。巴哈勒的抗打$H_W_BAD15%$COLOR_END雖然減少但攻擊力$H_W_GOOD20%$COLOR_END增加。	icon_status.baharrwrath_tex	icon_status.baharrwrath_tex	False
90442102	DelayedEffect	Buff	True	swch	15000	0	90442103	巴哈勒的憤怒			於憤怒狀態受到過多傷害時，巴哈勒將觸發震怒。	icon_status.baharrrage_tex	icon_status.baharrrage_tex	True
90442103	Power	Buff	True	perc	0	0	1.2	巴哈勒的震怒			火之神巴哈勒的震怒。巴哈勒的抗打$H_W_BAD15%$COLOR_END雖然減少但攻擊力$H_W_GOOD20%$COLOR_END增加。	icon_status.baharrwrath_tex	icon_status.baharrwrath_tex	True
90442103	Endurance	Buff	True	perc	0	0	0.85	巴哈勒的震怒			火之神巴哈勒的震怒。巴哈勒的抗打$H_W_BAD15%$COLOR_END雖然減少但攻擊力$H_W_GOOD20%$COLOR_END增加。	icon_status.baharrwrath_tex	icon_status.baharrwrath_tex	True
90442103	DelayedEffect	Buff	True	swch	0	0	90442101	巴哈勒的震怒			火之神巴哈勒的震怒。巴哈勒的抗打$H_W_BAD15%$COLOR_END雖然減少但攻擊力$H_W_GOOD20%$COLOR_END增加。	icon_status.baharrwrath_tex	icon_status.baharrwrath_tex	True
90442103	335	Buff	True	swch	0	0	0	巴哈勒的震怒			火之神巴哈勒的震怒。巴哈勒的抗打$H_W_BAD15%$COLOR_END雖然減少但攻擊力$H_W_GOOD20%$COLOR_END增加。	icon_status.baharrwrath_tex	icon_status.baharrwrath_tex	True
90442104	DelayedEffect	Buff	True	swch	50000	0	90442101	巴哈勒的憤怒			於憤怒狀態受到過多傷害時，巴哈勒將觸發震怒。	icon_status.baharrrage_tex	icon_status.baharrrage_tex	False
90442106	Endurance	Debuff	False	perc	10000	0	0.5	防具融解			震怒的巴哈勒之力融化了防具。每次疊加抗打減少$H_W_BAD50%$COLOR_END。	icon_status.minusdefence_tex	icon_status.minusdefence_tex	True
90442107	Power	Buff	True	perc	0	0	1.2	巴哈勒的震怒			火之神巴哈勒的震怒。巴哈勒的抗打 $H_W_BAD15%$COLOR_END雖然減少但攻擊力 $H_W_GOOD20%$COLOR_END增加。	icon_status.baharrwrath_tex	icon_status.baharrwrath_tex	True
90442107	Endurance	Buff	True	perc	0	0	0.85	巴哈勒的震怒			火之神巴哈勒的震怒。巴哈勒的抗打 $H_W_BAD15%$COLOR_END雖然減少但攻擊力 $H_W_GOOD20%$COLOR_END增加。	icon_status.baharrwrath_tex	icon_status.baharrwrath_tex	True
90442107	335	Buff	True	swch	0	0	0	巴哈勒的震怒			火之神巴哈勒的震怒。巴哈勒的抗打 $H_W_BAD15%$COLOR_END雖然減少但攻擊力 $H_W_GOOD20%$COLOR_END增加。	icon_status.baharrwrath_tex	icon_status.baharrwrath_tex	True
90442202	Endurance	Buff	True	perc	0	0	10	歲月的痕跡			長時間被掩埋在火山之下的憤怒士兵，雖然短暫覺醒卻又再次陷入沉睡，沾染灰塵及火山灰防禦力為相當高的狀態。但長久以來無法獲得力量面臨的是永恆的死亡。	icon_status.plusedefence_tex	icon_status.plusedefence_tex	True
90442204	Endurance	Buff	True	perc	0	0	10	覺醒的力量			軍團的士兵吸收了炙熱的火山力量!猶如爆裂的力量朝向他們的指揮官而去。	icon_status.darkriftrage_tex	icon_status.darkriftrage_tex	True
90442204	220	Buff	True	seta	0	0	0	覺醒的力量			軍團的士兵吸收了炙熱的火山力量!猶如爆裂的力量朝向他們的指揮官而去。	icon_status.darkriftrage_tex	icon_status.darkriftrage_tex	True
90442204	Immune	Buff	True	24	0	0	0	覺醒的力量			軍團的士兵吸收了炙熱的火山力量!猶如爆裂的力量朝向他們的指揮官而去。	icon_status.darkriftrage_tex	icon_status.darkriftrage_tex	True
90442211	Attack	Debuff	True	perc	15000	0	0.5	熔岩熱氣			曝露在火燙的熔岩15秒內技能攻擊力減少$H_W_BAD50%$COLOR_END。此效果無法淨化。	icon_status.minusattack_tex	icon_status.minusattack_tex	True
90442300	Immune	Buff	True	16	0	0	0	震怒的暴風 - 施展			巴哈勒由於震怒正在凝聚火神之力。	icon_status.wrathstormcasting_tex	icon_status.wrathstormcasting_tex	False
90442300	StatusImmune	Buff	True	swch	0	0	0	震怒的暴風 - 施展			巴哈勒由於震怒正在凝聚火神之力。	icon_status.wrathstormcasting_tex	icon_status.wrathstormcasting_tex	False
